ID	B1	B2	B3	val
922	224	120	127	3
923	224	127	139	3
924	218	143	151	3
925	212	135	162	3
926	212	143	162	3
927	212	158	186	3
928	212	173	197	3
929	206	165	186	3
930	199	135	151	3
931	199	105	127	3
932	193	90	104	3
933	218	120	127	3
934	224	127	139	3
935	231	127	139	3
936	231	135	139	3
937	231	127	151	3
938	224	127	139	3
939	231	105	127	3
940	224	97	127	3
941	224	105	127	3
942	212	112	127	3
943	199	120	116	3
944	187	105	116	3
945	168	105	116	3
946	149	97	104	3
947	137	90	104	3
948	137	97	104	3
949	137	105	104	3
950	149	105	104	3
951	181	97	116	3
952	193	90	116	3
953	187	97	116	3
954	174	90	104	3
955	156	90	93	3
956	162	90	93	3
957	174	82	104	3
958	193	97	104	3
959	212	90	116	3
960	218	90	127	3
961	212	97	127	3
962	199	90	104	3
963	187	97	116	3
964	187	82	116	3
965	187	97	116	3
966	199	112	116	3
967	206	105	127	3
968	218	105	127	3
969	237	105	116	3
970	243	105	127	3
971	243	105	127	3
972	249	97	127	3
973	243	120	139	3
974	231	105	116	3
975	218	105	127	3
976	206	97	116	3
977	193	90	116	3
978	193	105	116	3
979	206	120	127	3
980	218	135	162	3
981	212	127	162	3
982	212	120	139	3
983	218	120	127	3
984	224	105	127	3
985	231	127	139	3
986	218	127	127	3
987	212	120	127	3
988	212	143	127	3
989	218	143	139	3
990	218	135	139	3
991	212	120	139	3
992	206	112	127	3
993	212	120	127	3
994	218	90	116	3
995	218	90	116	3
996	224	90	104	3
997	224	90	104	3
998	224	97	116	3
999	224	97	116	3
1000	224	97	116	3
1001	212	97	116	3
1002	206	97	116	3
1003	206	105	116	3
1004	206	90	104	3
1005	212	97	116	3
1006	218	97	116	3
1007	224	90	116	3
1008	224	105	116	3
1009	218	105	116	3
1010	218	105	116	3
1011	206	97	116	3
1012	199	90	116	3
1013	199	97	104	3
1014	199	82	104	3
1015	193	97	116	3
1016	193	90	104	3
1017	193	90	104	3
1018	199	97	116	3
1019	206	90	104	3
1020	206	105	116	3
1021	206	97	116	3
1022	218	112	127	3
1023	224	150	151	3
1024	218	135	174	3
1025	212	120	127	3
1026	206	105	116	3
1027	212	105	116	3
1028	231	105	127	3
1029	231	97	127	3
1030	224	112	127	3
1031	212	120	139	3
1032	206	135	139	3
1033	206	143	151	3
1034	206	143	162	3
1035	206	158	186	3
1036	212	158	186	3
1037	206	150	174	3
1038	199	135	162	3
1039	193	127	151	3
1040	187	105	127	3
1041	187	82	104	3
1042	187	127	116	3
1043	199	120	127	3
1044	212	127	127	3
1045	218	127	139	3
1046	212	120	139	3
1047	212	120	127	3
1048	218	105	127	3
1049	212	112	127	3
1050	206	105	116	3
1051	187	105	116	3
1052	174	112	104	3
1053	162	90	104	3
1054	143	90	93	3
1055	143	90	104	3
1056	131	90	104	3
1057	131	90	104	3
1058	137	82	104	3
1059	131	90	93	3
1060	156	90	104	3
1061	168	82	104	3
1062	181	90	104	3
1063	181	75	104	3
1064	162	90	104	3
1065	143	82	104	3
1066	149	82	104	3
1067	162	97	104	3
1068	181	82	104	3
1069	187	90	116	3
1070	187	90	116	3
1071	187	90	104	3
1072	187	90	104	3
1073	193	90	104	3
1074	199	97	116	3
1075	212	105	116	3
1076	231	105	127	3
1077	237	105	127	3
1078	243	105	116	3
1079	237	105	127	3
1080	231	105	116	3
1081	231	97	127	3
1082	231	105	127	3
1083	218	97	104	3
1084	212	105	127	3
