ID	B1	B2	B3	val
587	31	105	174	1
588	31	105	162	1
589	31	105	174	1
590	31	97	162	1
591	31	97	162	1
592	37	105	174	1
593	37	97	162	1
594	37	105	174	1
595	37	97	162	1
596	31	97	162	1
597	31	105	162	1
598	31	90	162	1
599	31	105	174	1
600	31	97	162	1
601	31	97	162	1
602	31	97	162	1
603	31	90	162	1
604	31	105	174	1
605	37	97	162	1
606	31	97	162	1
607	31	97	162	1
608	31	90	162	1
609	31	105	162	1
610	31	90	162	1
611	31	97	162	1
612	31	97	162	1
613	31	97	162	1
614	31	105	162	1
615	31	90	151	1
616	31	97	162	1
617	31	97	162	1
618	31	97	162	1
619	31	105	162	1
620	31	90	162	1
621	31	97	162	1
622	31	90	162	1
623	31	90	162	1
624	31	97	162	1
625	31	90	162	1
626	31	97	162	1
627	31	97	162	1
628	31	97	162	1
629	31	97	162	1
630	31	90	162	1
631	31	105	162	1
632	31	90	162	1
633	31	97	162	1
634	31	97	162	1
635	31	90	162	1
636	31	105	162	1
637	31	90	162	1
638	31	97	162	1
639	31	97	162	1
640	31	90	162	1
641	31	97	162	1
642	31	90	151	1
643	31	97	162	1
644	31	97	151	1
645	31	97	162	1
646	31	105	162	1
647	31	90	151	1
648	31	105	162	1
649	31	97	162	1
650	31	97	162	1
651	31	97	162	1
652	31	90	162	1
653	31	97	162	1
654	31	90	162	1
655	31	97	162	1
656	31	97	162	1
657	31	90	162	1
658	31	105	162	1
659	31	90	162	1
660	31	97	162	1
661	31	97	162	1
662	31	90	162	1
663	31	97	162	1
664	31	90	162	1
665	31	97	162	1
666	31	97	151	1
667	31	97	151	1
668	31	105	162	1
669	31	90	151	1
670	31	97	162	1
671	31	97	151	1
672	31	90	162	1
673	31	97	162	1
674	31	90	151	1
675	31	97	162	1
676	31	90	151	1
677	31	97	162	1
678	31	97	162	1
679	31	90	162	1
680	31	105	162	1
681	31	90	139	1
682	31	97	151	1
683	31	97	162	1
684	31	90	162	1
685	31	105	162	1
686	31	90	162	1
687	31	97	162	1
688	31	97	151	1
689	31	97	151	1
690	31	105	162	1
691	31	90	162	1
692	31	97	162	1
693	31	97	162	1
694	31	97	162	1
695	31	105	162	1
696	31	90	162	1
697	31	105	162	1
698	31	97	162	1
699	31	90	162	1
700	31	97	162	1
701	31	90	162	1
702	31	97	162	1
703	31	90	151	1
704	31	97	162	1
705	31	97	162	1
706	31	90	151	1
707	31	105	162	1
708	31	90	162	1
709	31	97	162	1
710	31	97	162	1
711	31	90	162	1
712	31	97	162	1
713	31	90	151	1
714	31	97	162	1
715	31	97	151	1
716	31	90	151	1
717	37	97	162	1
718	37	97	162	1
719	37	105	162	1
720	37	97	162	1
721	37	112	162	1
722	37	97	162	1
723	31	97	162	1
724	31	105	162	1
725	37	97	162	1
726	37	105	162	1
727	37	97	162	1
728	37	105	174	1
729	37	105	174	1
730	37	97	162	1
731	37	112	162	1
732	37	97	162	1
733	37	105	174	1
734	37	105	162	1
735	31	97	162	1
736	31	105	174	1
737	31	97	162	1
738	31	105	174	1
739	37	97	162	1
740	37	97	162	1
741	37	105	162	1
742	37	97	162	1
743	37	105	162	1
744	37	97	162	1
745	31	97	162	1
746	37	105	162	1
747	37	97	162	1
748	31	105	162	1
749	31	97	162	1
750	31	97	174	1
751	37	105	174	1
752	31	105	162	1
753	31	105	162	1
754	31	97	162	1
755	31	105	162	1
756	31	105	162	1
757	31	97	162	1
758	31	105	174	1
759	31	97	162	1
760	31	105	162	1
761	31	97	162	1
762	31	97	162	1
763	31	105	162	1
764	31	90	162	1
765	31	97	162	1
766	31	97	162	1
767	31	97	162	1
768	31	105	162	1
769	31	90	162	1
770	31	105	162	1
771	31	97	151	1
772	31	97	162	1
773	31	97	162	1
774	31	90	151	1
775	31	105	162	1
