ID	B1	B2	B3	val
577	224	255	255	2
578	212	248	255	2
579	212	240	244	2
580	224	225	255	2
581	218	233	255	2
582	218	240	255	2
583	224	233	255	2
584	231	240	255	2
585	218	240	255	2
586	218	225	255	2
587	206	210	232	2
588	187	188	209	2
589	181	195	221	2
590	206	188	221	2
591	218	188	209	2
592	231	218	209	2
593	237	240	255	2
594	243	233	244	2
595	231	225	232	2
596	231	225	232	2
597	218	248	232	2
598	212	233	244	2
599	212	255	244	2
600	218	255	255	2
601	212	255	255	2
602	206	255	255	2
603	206	255	255	2
604	199	240	255	2
605	187	240	244	2
606	187	233	232	2
607	187	225	232	2
608	187	225	232	2
609	187	233	232	2
610	199	233	232	2
611	199	225	232	2
612	199	225	221	2
613	199	233	244	2
614	193	240	232	2
615	187	240	232	2
616	187	240	244	2
617	187	233	232	2
618	187	233	244	2
619	193	233	244	2
620	193	225	244	2
621	199	225	255	2
622	218	225	244	2
623	243	188	221	2
624	231	173	209	2
625	218	195	221	2
626	212	225	244	2
627	212	240	244	2
628	206	248	255	2
629	212	248	255	2
630	212	248	244	2
631	212	233	232	2
632	224	195	221	2
633	218	188	221	2
634	218	188	209	2
635	224	180	197	2
636	224	158	186	2
637	224	158	186	2
638	218	173	209	2
639	212	195	232	2
640	212	210	232	2
641	206	203	221	2
642	212	203	221	2
643	212	210	221	2
644	212	210	232	2
645	212	203	244	2
646	206	218	221	2
647	212	233	232	2
648	199	233	244	2
649	206	225	244	2
650	212	225	232	2
651	206	218	244	2
652	218	218	232	2
653	224	233	244	2
654	224	255	255	2
655	224	240	244	2
656	218	233	255	2
657	218	233	255	2
658	199	180	209	2
659	199	188	209	2
660	199	203	209	2
661	193	233	244	2
662	187	240	255	2
663	168	225	255	2
664	174	218	255	2
665	187	218	255	2
666	199	225	232	2
667	206	203	232	2
668	206	180	221	2
669	199	173	209	2
670	193	180	197	2
671	193	203	209	2
672	193	210	221	2
673	193	203	221	2
674	199	210	232	2
675	206	218	244	2
676	212	240	255	2
677	224	255	255	2
678	218	248	255	2
679	212	233	255	2
680	212	233	232	2
681	224	233	255	2
682	231	248	255	2
683	231	248	255	2
684	231	233	255	2
685	224	233	232	2
686	218	233	244	2
687	212	210	244	2
688	199	188	232	2
689	193	195	209	2
690	193	188	221	2
691	206	180	209	2
692	224	188	209	2
693	231	203	209	2
